disco,date,band,collection_naira
IBEDC,01/11/2020,band_e,789461580.4
IBEDC,01/12/2020,lifeline,12830365.67
IBEDC,01/12/2020,band_a,2723090585
IBEDC,01/12/2020,band_b,1104220492
IBEDC,01/12/2020,band_c,846603892.4
IBEDC,01/12/2020,band_d,901476988.5
IBEDC,01/12/2020,band_e,678472076.6
IBEDC,01/01/2021,lifeline,12288839.21
IBEDC,01/01/2021,band_a,3200519163
IBEDC,01/01/2021,band_b,1073449752
IBEDC,01/01/2021,band_c,868005490.6
IBEDC,01/01/2021,band_d,982325745.7
IBEDC,01/01/2021,band_e,681203110.6
IBEDC,01/02/2021,lifeline,8217206.168
IBEDC,01/02/2021,band_a,3422260143
IBEDC,01/02/2021,band_b,1137279084
IBEDC,01/02/2021,band_c,935816668.4
IBEDC,01/02/2021,band_d,1023179664
IBEDC,01/02/2021,band_e,748875521.3
IBEDC,01/03/2021,lifeline,6798420.278
IBEDC,01/03/2021,band_a,3481508454
IBEDC,01/03/2021,band_b,1080233026
IBEDC,01/03/2021,band_c,875158682
IBEDC,01/03/2021,band_d,936144930.1
IBEDC,01/03/2021,band_e,686582353.9
IBEDC,01/04/2021,lifeline,5182212.631
IBEDC,01/04/2021,band_a,3544769772
IBEDC,01/04/2021,band_b,1200182275
IBEDC,01/04/2021,band_c,858767284.9
IBEDC,01/04/2021,band_d,868718363.9
IBEDC,01/04/2021,band_e,630742733.3
IBEDC,01/05/2021,lifeline,6588842.812
IBEDC,01/05/2021,band_a,3126028916
IBEDC,01/05/2021,band_b,623756502.3
IBEDC,01/05/2021,band_c,1845654243
IBEDC,01/05/2021,band_d,580702436.5
IBEDC,01/05/2021,band_e,418329730.2
IBEDC,01/06/2021,lifeline,8482001.877
IBEDC,01/06/2021,band_a,3477427507
IBEDC,01/06/2021,band_b,1193013656
IBEDC,01/06/2021,band_c,894799904.3
IBEDC,01/06/2021,band_d,867296784.2
IBEDC,01/06/2021,band_e,660512846.9
IBEDC,01/07/2021,lifeline,8125361.318
IBEDC,01/07/2021,band_a,5481623692
IBEDC,01/07/2021,band_b,1283198973
IBEDC,01/07/2021,band_c,942838322
IBEDC,01/07/2021,band_d,893236791
IBEDC,01/07/2021,band_e,696835072
IBEDC,01/08/2021,lifeline,8714096.882
IBEDC,01/08/2021,band_a,3682483223
IBEDC,01/08/2021,band_b,1368320800
IBEDC,01/08/2021,band_c,942513641.9
IBEDC,01/08/2021,band_d,906220815.7
IBEDC,01/08/2021,band_e,714934795.8
IBEDC,01/09/2021,lifeline,8179329.262
IBEDC,01/09/2021,band_a,3817535509
IBEDC,01/09/2021,band_b,1399184421
IBEDC,01/09/2021,band_c,963040068.1
IBEDC,01/09/2021,band_d,832157835.7
IBEDC,01/09/2021,band_e,687023988
IBEDC,01/10/2021,lifeline,8781485.431
IBEDC,01/10/2021,band_a,3748446262
IBEDC,01/10/2021,band_b,1496405544
IBEDC,01/10/2021,band_c,973062420.4
