disco,date,band,billing_naira
EKEDC,01/07/2022,band_e,212737866.9
EKEDC,01/08/2022,lifeline,0
EKEDC,01/08/2022,band_a,4355839990
EKEDC,01/08/2022,band_b,3814673998
EKEDC,01/08/2022,band_c,2039843840
EKEDC,01/08/2022,band_d,1615271688
EKEDC,01/08/2022,band_e,293113458.9
EKEDC,01/09/2022,lifeline,0
EKEDC,01/09/2022,band_a,4720797862
EKEDC,01/09/2022,band_b,4149338411
EKEDC,01/09/2022,band_c,2205349893
EKEDC,01/09/2022,band_d,1766379930
EKEDC,01/09/2022,band_e,110569836.7
EEDC,01/11/2020,lifeline,163829.92
EEDC,01/11/2020,band_a,2069861824
EEDC,01/11/2020,band_b,1673176036
EEDC,01/11/2020,band_c,3966127187
EEDC,01/11/2020,band_d,853068285.2
EEDC,01/11/2020,band_e,275530862
EEDC,01/12/2020,lifeline,99299.65
EEDC,01/12/2020,band_a,2283075472
EEDC,01/12/2020,band_b,2230530453
EEDC,01/12/2020,band_c,4065440857
EEDC,01/12/2020,band_d,1056540475
EEDC,01/12/2020,band_e,345756712.2
EEDC,01/01/2021,lifeline,78524.794
EEDC,01/01/2021,band_a,2289816836
EEDC,01/01/2021,band_b,2371494610
EEDC,01/01/2021,band_c,4334411042
EEDC,01/01/2021,band_d,1112388423
EEDC,01/01/2021,band_e,288749894.1
EEDC,01/02/2021,lifeline,689837.1477
EEDC,01/02/2021,band_a,2178293371
EEDC,01/02/2021,band_b,2066973999
EEDC,01/02/2021,band_c,3784488104
EEDC,01/02/2021,band_d,1118354919
EEDC,01/02/2021,band_e,317212204.1
EEDC,01/03/2021,lifeline,425488.3667
EEDC,01/03/2021,band_a,2089713549
EEDC,01/03/2021,band_b,2002883708
EEDC,01/03/2021,band_c,3773263039
EEDC,01/03/2021,band_d,1117724452
EEDC,01/03/2021,band_e,262183060.4
EEDC,01/04/2021,lifeline,269329.8894
EEDC,01/04/2021,band_a,2043026268
EEDC,01/04/2021,band_b,1859781262
EEDC,01/04/2021,band_c,3541374128
EEDC,01/04/2021,band_d,951834308.5
EEDC,01/04/2021,band_e,221785186
EEDC,01/05/2021,lifeline,254216.6906
EEDC,01/05/2021,band_a,2013990211
EEDC,01/05/2021,band_b,1779814922
EEDC,01/05/2021,band_c,3723583776
EEDC,01/05/2021,band_d,986599518.9
EEDC,01/05/2021,band_e,222947149.9
EEDC,01/06/2021,lifeline,213264.444
EEDC,01/06/2021,band_a,1868569461
EEDC,01/06/2021,band_b,1498918273
EEDC,01/06/2021,band_c,3229539996
EEDC,01/06/2021,band_d,1075027537
EEDC,01/06/2021,band_e,325374211.7
EEDC,01/07/2021,lifeline,210265.4703
EEDC,01/07/2021,band_a,1921953382
EEDC,01/07/2021,band_b,1642750553
EEDC,01/07/2021,band_c,3557924150
EEDC,01/07/2021,band_d,1212516418
EEDC,01/07/2021,band_e,426125610.8
EEDC,01/08/2021,lifeline,162790.9824
EEDC,01/08/2021,band_a,1788997373
EEDC,01/08/2021,band_b,1670479681
EEDC,01/08/2021,band_c,3385156611
EEDC,01/08/2021,band_d,1220874323
EEDC,01/08/2021,band_e,385098704.7
